id	area	status	priority	blocking_condition	issue	acceptance_notes	primary_refs
PFP-001	deployment	resolved	high	confirmed	Review compressed Docker image handoff workflow for this patch.	Confirmed repo workflow in docs/azure_runbook.md and scripts/web/*_web_image_archive.sh; verified Blob history under docker-images/web with a122bfbb93e6 and efb20c420dd6 manifests/archives.	docs/azure_runbook.md; scripts/web/build_web_image_archive.sh; scripts/web/download_web_image_archive.sh; scripts/web/load_web_image_archive.sh
PFP-002	deployment	open	high	must_complete_before_vm_patch	Ship this patch as a new compressed Docker image, not a VM-side source build.	Image archive is built from current commit, uploaded, checksum-verified on download, loaded into Docker on VM, and selected by deploy env.	scripts/web/build_web_image_archive.sh; scripts/web/deploy_prod.sh; deploy/web/.env.example
PFP-003	deployment	open	high	must_not_require_public_ip_or_ssh	Hot patch running VM through Azure Run Command / Cloudflare path, not public IP or SSH tunnel.	Deployment commands use Azure Run Command and local VM health checks; SSH tunnel remains conditional only.	docs/azure_runbook.md; scripts/azure/clone_or_update_serving_repo.sh; scripts/web/restart.sh
PFP-004	deployment	open	high	must_verify_payload_before_ui_claims	Verify deployed/restored payload has pronunciation fields.	Qdrant payloads include optional ipa, audio_ogg_url, audio_mp3_url; if absent, restore newer snapshot/processed metadata before expecting pronunciation UI.	docs/data_contracts.md; scripts/web/restore_qdrant_from_blob.sh; src/search/qdrant_search.py
PFP-005	policy	resolved	high	tested	Entries with parseable IPA and voice recording should only enable IPA auto pronunciation.	Result card suppresses recording button when auto_pronunciation is available; covered by tests/web/test_app.py.	user directive; src/web/templates/partials/result_card.html; src/web/static/search_ui.js
PFP-006	policy	resolved	high	tested	Entries with recording but no parseable IPA should follow alternate recording path.	Recording-only entries still render lazy audio playback; covered by tests/web/test_app.py and tests/web/static/test_search_ui.js.	user directive; src/web/templates/partials/result_card.html; src/web/static/search_ui.js
PFP-007	python-extension	resolved	high	tested	Add FastAPI Python extension integration to unchecked TODOs and implementation plan.	Search enrichment and /api/ipa-pronunciation endpoint added with import-failure behavior; focused Python tests pass.	user directive; src/search/pronunciation.py; src/web/app.py; tests/search/test_pronunciation.py; tests/web/test_app.py
PFP-008	python-extension	resolved	high	builder_stage_verified	Current exported ipa_to_mespeak native module is local macOS CPython 3.14 and incompatible with current Linux Python 3.10 Docker image.	Local Darwin module removed from production path; Docker builder stage builds Linux/Python 3.10 wheel from native/ipa_to_mespeak.	deploy/web/Dockerfile; native/ipa_to_mespeak
PFP-009	cache/open-ui	resolved	high	tested	eSpeak auto pronunciation should lazy-load on click and cache through browser/web path.	Automatic pronunciation click path now loads local meSpeak runtime, config, canonical voice JSON, IPA phoneme payload, and calls meSpeak.speak with bracketed phonemes; static JS test passes.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/static/search_ui.js; deploy/web/nginx/default.conf
PFP-010	cache/open-ui	resolved	high	tested	Additional eSpeak/meSpeak language JSONs must lazy-load only when required.	Voice JSONs are loaded per canonical voice on demand and cached by the browser/runtime path; static JS test verifies config/voice fetch occurs once.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; deploy/web/nginx/default.conf; src/web/app.py
PFP-011	ui/open	resolved	high	tested	Unify result parsing/rendering with optional eSpeak cards and alternate recording-only cards.	SearchResult model/template supports auto_pronunciation and recording-only fallback; focused tests pass.	user directive; src/search/schemas.py; src/web/templates/partials/result_card.html
PFP-012	ui/open	resolved	medium	tested	Desktop language filters need a List/Tree link button that toggles presentation.	Button and controller behavior implemented; static JS tests pass.	user directive; src/web/templates/partials/filters.html; src/web/static/language_filter_*.js; src/web/static/style.css
PFP-013	ui/open	resolved	medium	tested	Flat desktop language list should be descending by rows with minimum 100-row cutoff.	Flat list sorts by row count and excludes languages below cutoff; static JS tests pass.	user directive; src/web/taxonomy.py; src/web/static/language_filter_*.js
PFP-014	ui/open	resolved	medium	tested	Increase vertical height of mobile search dropdown box.	Mobile language search result max-height increased to min(260px, 45vh); CSS reviewed with static UI tests.	user directive; src/web/static/style.css
PFP-015	ui/open	resolved	medium	tested	Bottom-align IPA display text with result word on cards.	Result title row and pronunciation row align to flex-end; template/static tests pass.	user directive; src/web/templates/partials/result_card.html; src/web/static/style.css
PFP-016	local-preview	resolved	high	verified_local_preview	Review and use sandbox/local preview workflow with already staged dummy collection.	Local compose/run defaults now match reverse_wiktionary_test with a 384-dimensional MiniLM model; local compose preview health, search smoke, and pronunciation asset/payload routes pass.	deploy/web/compose.local.yml; scripts/web/run_local_web.sh; scripts/web/smoke_api_search.sh; data/qdrant/storage/collections/reverse_wiktionary_test
PFP-017	tests	resolved	high	tested	Review test harnesses for pronunciation result paths, UI toggles, and extension failure behavior.	Added/updated pronunciation, schema, service, app, and static JS tests; focused Python and JS suites pass.	tests/search; tests/web; tests/web/static
PFP-018	docs/open	resolved	medium	updated	Update runbooks/docs only after implementation decisions are settled.	Docs describe compressed image handoff, pronunciation payload routing, local meSpeak asset routes, browser meSpeak playback, and recording cache behavior.	docs/azure_runbook.md; docs/design_web_serving.md; docs/data_contracts.md
PFP-019	python-extension	resolved	high	builder_stage_verified	Compile ipa_to_mespeak inside the production Docker build path instead of shipping the local macOS native module.	Existing Dockerfile now has a multi-stage builder that builds and installs the Linux wheel into the final image; builder target build passed.	deploy/web/Dockerfile; native/ipa_to_mespeak/pyproject.toml; native/ipa_to_mespeak/Cargo.toml
PFP-020	python-extension	resolved	high	builder_stage_verified	Resolve Python version and ABI compatibility for ipa_to_mespeak in the web image.	Web image remains Python 3.10; vendored ipa_to_mespeak metadata supports >=3.10 and builder target produced cp310 manylinux wheel.	deploy/web/Dockerfile; native/ipa_to_mespeak/pyproject.toml; tests/web/test_app.py
PFP-021	hygiene	resolved	high	checked	Sweep production code comments and docs touched in this pass for prompt artifacts and tutorialish wording.	Production paths searched for prompt/process residue and stale TODO language; only normal operational wording remained.	src; deploy; docs
PFP-022	hygiene	resolved	high	checked	Sweep for stale design alternatives and foregone decisions introduced during implementation.	Docs and comments now describe current behavior and explicit runtime limitations without abandoned alternatives.	docs; src; deploy
PFP-023	hygiene	resolved	medium	updated	Sweep generated tracker notes for accurate final status.	Tracker rows updated to distinguish resolved, open deployment/preview checks, and blocked eSpeak playback strategy.	ARTIFACTS/pronunciation_final_path
PFP-024	cache/open-ui	resolved	high	tested	Add FastAPI routes for eSpeak/meSpeak static runtime assets.	FastAPI serves allowlisted meSpeak runtime, config, and voice assets from tracked repo assets with immutable cache headers; app tests pass.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/app.py; deploy/web/nginx/default.conf
PFP-025	cache/open-ui	resolved	high	tested	Add browser playback integration for automatic pronunciation cards.	Browser automatic-pronunciation button now produces audible meSpeak playback path via lazy runtime/config/voice/payload loading; static JS test verifies speak call and caching.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/static/search_ui.js; tests/web/static/test_search_ui.js
PFP-026	ui/open	resolved	medium	tested	Search-field built-in clear action must dismiss language-search dropdown.	Language-search clear action resets search context, hides dropdown results, and restores hidden tree rows; static language-filter test passes.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/static/language_filter_controller.js; tests/web/static/test_language_filters.js
PFP-027	ui/open	resolved	medium	tested	Desktop List/Tree toggle must not affect searchbox behavior.	Desktop List/Tree toggle leaves language-search dropdown state intact; static language-filter test passes.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/static/language_filter_controller.js; tests/web/static/test_language_filters.js
PFP-028	ui/open	resolved	medium	tested	IPA-only result state must render no speaker button.	IPA-only result state renders IPA text without audio or auto-pronunciation button; FastAPI template test passes.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/templates/partials/result_card.html; tests/web/test_app.py
PFP-029	cache/open-ui	resolved	high	tested	Stage eSpeak/meSpeak runtime assets inside the tracked serving repo.	meSpeak runtime JS, config, and supported voice JSON assets are staged under src/web/static/vendor/mespeak and included by Docker context.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; .dockerignore; deploy/web/Dockerfile; src/web/app.py
PFP-030	deployment	resolved	high	verified_local_image	Verify staged pronunciation assets are included in Docker context and final image.	Local linux/amd64 Docker image reverse-wiktionary-web:pronunciation-local built successfully; final image contains staged meSpeak assets, installed ipa_to_mespeak module, CPU Torch, and no Rust builder tooling.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; .dockerignore; deploy/web/Dockerfile
PFP-031	cache/open-ui	resolved	high	tested	Verify automatic pronunciation click path produces audible playback.	Automatic pronunciation click path is covered by static JS test with fake meSpeak runtime, verifying bracketed phoneme playback call.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/static/search_ui.js; tests/web/static/test_search_ui.js
PFP-032	cache/open-ui	resolved	medium	tested	Verify cache headers for pronunciation runtime paths.	FastAPI pronunciation asset and IPA payload routes return immutable cache headers; Nginx caches /api/ipa-pronunciation and /api/pronunciation-assets/.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/app.py; deploy/web/nginx/default.conf
PFP-033	security/open-ui	resolved	medium	checked	Verify automatic pronunciation does not require new public runtime CDN dependency.	Runtime JS and voice assets are served from local app/image paths; no public CDN dependency is required at runtime.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/templates/base.html; src/web/app.py
PFP-034	policy	resolved	high	tested	Verify fallback behavior for unsupported IPA, missing extension, and missing assets.	Fallback behavior covered for auto-over-recording, recording-only, IPA-only, and extension-unavailable service paths.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/search/pronunciation.py; src/web/templates/partials/result_card.html; tests/web/test_app.py
PFP-035	deployment	resolved	medium	checked	Verify version and environment consistency.	App version and default audio user-agent are 1.1; compose defaults match; deploy .env example now uses image tag/asset version placeholders and WEB_SKIP_BUILD=true for compressed-image deployment.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; src/web/app.py; src/web/config.py; deploy/web/compose*.yml
PFP-036	deployment	open	high	must_verify_before_upload	Verify compressed image archive manifest before upload/load.	Manifest contains expected image tag, linux/amd64 platform, git commit, archive size, and sha256; download/load path validates checksum.	scripts/web/build_web_image_archive.sh; scripts/web/download_web_image_archive.sh
PFP-037	deployment	open	high	must_follow_for_vm_patch	Follow frozen deployment order.	Order is commit, build archive from commit, upload archive/manifest, VM git pull, download/load image, set env, restart with no build, then health/search/pronunciation smoke.	ARTIFACTS/pronunciation_final_path/behavior_contract.md; docs/azure_runbook.md; scripts/web/deploy_prod.sh
PFP-038	deployment	resolved	high	verified_local_image	Bake default query model cache into the compressed web image.	Dockerfile preloads MODEL_NAME into HF/SentenceTransformer cache; local image verified offline with HF_HUB_OFFLINE/TRANSFORMERS_OFFLINE, CPU Torch, model_dim 768, and no Rust builder tooling.	deploy/web/Dockerfile; docs/azure_runbook.md
